From file: CTD 1350 080221;Instrument no.:;1350;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;
1;2;;1016,56;P61764;;;;;;
2;2;;999,59;P61688;;;;;;
Ser;Meas;Cond.;Temp;F (?g/l);OpOx %;Opmg/l;Density;Press;Date;Time
1;1;0;0,622;0,26;99,9;14,4;-0,119;0;1-2-2021;09:15:25
1;2;0;0,521;0,25;99,49;14,38;-0,124;0;1-2-2021;09:15:27
1;3;0;0,559;0,26;99,45;14,36;-0,122;0;1-2-2021;09:15:29
1;4;0;0,493;0,25;99,26;14,36;-0,126;0;1-2-2021;09:15:31
1;5;0;0,143;0,25;99,13;14,48;-0,148;0;1-2-2021;09:15:33
1;6;0;0,006;0,25;100,35;14,72;-0,157;0;1-2-2021;09:15:35
1;7;0;-0,007;0,24;99,12;14,54;-0,158;0;1-2-2021;09:15:37
1;8;0;-0,522;0,24;97,75;14,55;-0,195;0;1-2-2021;09:15:39
1;9;0;-0,985;0,24;99,95;15,08;-0,233;0;1-2-2021;09:15:41
1;10;0;-0,921;0,24;99,24;14,95;-0,228;0;1-2-2021;09:15:43
1;11;0;-0,8;0,23;99,26;14,9;-0,218;0;1-2-2021;09:15:45
1;12;0;-0,793;0,23;99,95;15;-0,217;0;1-2-2021;09:15:47
1;13;0;-0,787;0,23;99,35;14,9;-0,217;0;1-2-2021;09:15:49
1;14;0;-0,902;0,23;99,77;15,02;-0,226;0;1-2-2021;09:15:51
1;15;0;-0,895;0,22;99,24;14,93;-0,226;0;1-2-2021;09:15:53
1;16;0;-0,911;0,22;99,04;14,91;-0,227;0;1-2-2021;09:15:55
1;17;0;-0,886;0,22;99,17;14,92;-0,225;0;1-2-2021;09:15:57
1;18;0;-0,799;0,21;100,18;15,03;-0,218;0;1-2-2021;09:15:59
1;19;0;1,211;0,2;104,16;14,77;-0,088;0;1-2-2021;09:16:01
1;20;30,81;3,566;0,2;101,48;10,77;26,539;0,87;1-2-2021;09:16:03
1;21;31,488;3,679;0,2;99,99;10,53;27,103;5,71;1-2-2021;09:16:05
1;22;31,472;3,682;0,18;99,19;10,45;27,106;10,74;1-2-2021;09:16:07
1;23;31,555;3,768;0,18;98,74;10,38;27,122;14,83;1-2-2021;09:16:09
