From file: CTD 1350 220321;Instrument no.:;1350;;;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;;;
1;2;;989,35;;;;;;;;;
Ser;Meas;Sal.;Cond.;Temp;F (µg/l);OpOx %;Opmg/l;Density;S. vel.;Press;Date;Time
1;67;0;0;0,051;0,29;98,64;14,06;-0,154;1402,65;0,03;18-3-2021;12:13:28
1;68;0;0;0,06;0,3;98,53;14,04;-0,153;1402,69;0,12;18-3-2021;12:13:30
1;69;0;0;0,054;0,29;98,6;14,05;-0,152;1402,67;0,38;18-3-2021;12:13:32
1;70;0;0;0,056;0,3;98,61;14,05;-0,151;1402,68;0,46;18-3-2021;12:13:34
1;71;0;0;0,048;0,31;98,74;14,08;-0,151;1402,64;0,65;18-3-2021;12:13:36
1;72;0;0;0,052;0,29;98,68;14,07;-0,15;1402,66;0,77;18-3-2021;12:13:38
1;73;0;0;0,047;0,29;98,62;14,06;-0,15;1402,64;0,75;18-3-2021;12:13:40
1;74;0;0;0,045;0,31;98,55;14,05;-0,151;1402,63;0,74;18-3-2021;12:13:42
1;75;0;0;0,046;0,31;98,55;14,05;-0,151;1402,63;0,72;18-3-2021;12:13:44
1;76;0;0;0,055;0,29;98,68;14,06;-0,15;1402,68;0,78;18-3-2021;12:13:46
1;77;0;0;0,065;0,31;98,6;14,05;-0,149;1402,73;0,87;18-3-2021;12:13:48
1;78;0;0;0,072;0,33;98,42;14,02;-0,147;1402,77;1,04;18-3-2021;12:13:50
1;79;0;0;0,068;0,31;98,44;14,02;-0,147;1402,75;1,15;18-3-2021;12:13:52
1;80;0;0;0,076;0,38;98,49;14,03;-0,146;1402,79;1,25;18-3-2021;12:13:54
1;81;0;0;0,086;0,36;98,4;14,01;-0,145;1402,84;1,39;18-3-2021;12:13:56
1;82;0;0;0,085;0,37;98,4;14,01;-0,144;1402,84;1,48;18-3-2021;12:13:58
1;83;0;0;0,085;0,39;98,74;14,06;-0,143;1402,84;1,65;18-3-2021;12:14:00
1;84;0;0;0,095;0,42;98,82;14,07;-0,142;1402,89;1,72;18-3-2021;12:14:02
1;85;0;0;0,119;0,38;98,97;14,08;-0,139;1403,02;1,96;18-3-2021;12:14:04
1;86;0;0;0,128;0,41;98,73;14,04;-0,138;1403,06;2,12;18-3-2021;12:14:06
1;87;0;0;0,136;0,41;98,38;13,99;-0,137;1403,11;2,28;18-3-2021;12:14:08
1;88;0;0;0,136;0,38;98,34;13,98;-0,136;1403,11;2,38;18-3-2021;12:14:10
1;89;0;0;0,137;0,41;98,41;13,99;-0,136;1403,12;2,51;18-3-2021;12:14:12
1;90;0;0;0,159;0,38;98,54;14;-0,133;1403,23;2,69;18-3-2021;12:14:14
1;91;0;0;0,173;0,35;98,68;14,02;-0,131;1403,3;2,89;18-3-2021;12:14:16
1;92;0;0;0,157;0,36;98,39;13,98;-0,131;1403,22;3,07;18-3-2021;12:14:18
1;93;0;0;0,156;0,34;98,09;13,94;-0,131;1403,22;3,23;18-3-2021;12:14:20
1;94;0;0;0,162;0,32;97,94;13,92;-0,129;1403,26;3,46;18-3-2021;12:14:22
1;95;0;0;0,171;0,3;98,05;13,93;-0,127;1403,31;3,76;18-3-2021;12:14:24
1;96;0;0;0,167;0,25;98,03;13,93;-0,126;1403,29;3,98;18-3-2021;12:14:26
1;97;0;0;0,168;0,27;97,88;13,91;-0,125;1403,3;4,25;18-3-2021;12:14:28
1;98;0;0;0,171;0,27;97,91;13,91;-0,123;1403,32;4,55;18-3-2021;12:14:30
1;99;0;0;0,17;0,26;97,85;13,9;-0,121;1403,32;4,89;18-3-2021;12:14:32
1;100;0;0;0,176;0,25;97,66;13,87;-0,118;1403,36;5,41;18-3-2021;12:14:34
1;101;0;0;0,17;0,26;97,74;13,89;-0,117;1403,33;5,81;18-3-2021;12:14:36
1;102;0;0;0,175;0,25;97,82;13,89;-0,114;1403,36;6,19;18-3-2021;12:14:38
1;103;0;0;0,171;0,22;98,02;13,92;-0,113;1403,35;6,44;18-3-2021;12:14:40
1;104;0;0;0,171;0,22;97,96;13,92;-0,112;1403,35;6,73;18-3-2021;12:14:42
1;105;0;0;0,175;0,22;97,75;13,88;-0,11;1403,38;6,98;18-3-2021;12:14:44
1;106;0;0;0,173;0,26;98,01;13,92;-0,109;1403,37;7,29;18-3-2021;12:14:46
1;107;0;0;0,178;0,26;98,14;13,94;-0,107;1403,4;7,51;18-3-2021;12:14:48
1;108;0;0;0,181;0,23;97,93;13,91;-0,106;1403,42;7,68;18-3-2021;12:14:50
1;109;0;0;0,179;0,19;98,04;13,92;-0,105;1403,41;7,93;18-3-2021;12:14:52
1;110;0;0;0,191;0,21;98,25;13,95;-0,104;1403,47;8,12;18-3-2021;12:14:54
1;111;0;0;0,187;0,18;97,57;13,85;-0,101;1403,46;8,57;18-3-2021;12:14:56
1;112;0;0;0,185;0,19;97,38;13,83;-0,099;1403,46;9,06;18-3-2021;12:14:58
1;113;0;0;0,185;0,21;97,36;13,82;-0,097;1403,46;9,44;18-3-2021;12:15:00
1;114;0;0;0,188;0,19;97,51;13,85;-0,095;1403,48;9,76;18-3-2021;12:15:02
1;115;0;0;0,191;0,2;97,31;13,82;-0,093;1403,5;10,13;18-3-2021;12:15:04
1;116;0;0;0,194;0,17;97,06;13,78;-0,091;1403,53;10,58;18-3-2021;12:15:06
1;117;0;0;0,2;0,24;96,95;13,76;-0,089;1403,56;10,87;18-3-2021;12:15:08
1;118;0;0;0,198;0,2;96,77;13,74;-0,088;1403,55;11,14;18-3-2021;12:15:10
1;119;0;0;0,206;0,18;96,58;13,71;-0,085;1403,6;11,56;18-3-2021;12:15:12
1;120;0;0;0,206;0,17;96,3;13,67;-0,083;1403,61;11,98;18-3-2021;12:15:14
1;121;0;0;0,21;0,18;96,05;13,63;-0,08;1403,64;12,48;18-3-2021;12:15:16
1;122;0;0;0,212;0,17;95,81;13,59;-0,078;1403,65;12,95;18-3-2021;12:15:18
1;123;0;0;0,217;0,17;95,63;13,57;-0,074;1403,69;13,51;18-3-2021;12:15:20
1;124;0;0;0,219;0,16;95,58;13,56;-0,072;1403,7;13,94;18-3-2021;12:15:22
1;125;0;0;0,224;0,18;95,57;13,56;-0,069;1403,74;14,49;18-3-2021;12:15:24
1;126;0;0;0,228;0,19;95,73;13,58;-0,066;1403,76;15,03;18-3-2021;12:15:26
1;127;0;0;0,234;0,18;95,69;13,57;-0,063;1403,8;15,63;18-3-2021;12:15:28
1;128;0;0;0,236;0,17;95,6;13,56;-0,06;1403,82;16,07;18-3-2021;12:15:30
1;129;0;0;0,243;0,18;95,65;13,56;-0,057;1403,86;16,58;18-3-2021;12:15:32
1;130;0;0;0,246;0,17;95,42;13,53;-0,054;1403,89;17,09;18-3-2021;12:15:34
1;131;0;0;0,245;0,16;95,26;13,5;-0,052;1403,89;17,59;18-3-2021;12:15:36
1;132;0;0;0,252;0,18;95,06;13,47;-0,048;1403,93;18,21;18-3-2021;12:15:38
