From file: CTD 1350 080621;Instrument no.:;1350;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;
1;2;;1023,49;;;;;;;
2;2;;989,53;;;;;;;
Ser;Meas;Cond.;Temp;F (?g/l);OpOx %;Opmg/l;Density;Press;Date;Time
1;1;0;17,812;1,36;100,69;9,67;-1,368;0;8-6-2021;09:27:38
1;2;0;17,656;0;100,56;9,69;-1,339;0;8-6-2021;09:27:40
1;3;0;17,668;0,03;100,38;9,67;-1,342;0;8-6-2021;09:27:42
1;4;0;17,698;0,02;100,29;9,65;-1,347;0;8-6-2021;09:27:44
1;5;0;17,679;0,02;100,14;9,64;-1,344;0;8-6-2021;09:27:46
1;6;0;17,699;0,02;100,18;9,64;-1,347;0;8-6-2021;09:27:48
1;7;0;17,678;0,02;99,71;9,6;-1,343;0;8-6-2021;09:27:50
1;8;0;17,61;0,02;99,91;9,63;-1,331;0;8-6-2021;09:27:52
1;9;0;17,599;0,03;99,74;9,62;-1,329;0;8-6-2021;09:27:54
1;10;0;17,583;0,02;99,68;9,62;-1,326;0;8-6-2021;09:27:56
1;11;0;17,565;0,02;99,69;9,62;-1,323;0;8-6-2021;09:27:58
1;12;0;17,559;0,03;99,68;9,62;-1,322;0;8-6-2021;09:28:00
1;13;0;17,527;0,02;99,75;9,63;-1,316;0;8-6-2021;09:28:02
1;14;0;17,487;0,21;75,67;7,31;-1,309;0;8-6-2021;09:28:04
1;15;0;17,422;0,03;99,92;9,67;-1,297;0;8-6-2021;09:28:06
1;16;0;17,41;0,03;99,84;9,67;-1,295;0;8-6-2021;09:28:08
1;17;0;17,379;0,49;86,15;8,35;-1,29;0;8-6-2021;09:28:10
1;18;0;17,367;0,03;99,97;9,69;-1,288;0;8-6-2021;09:28:12
1;19;0;17,357;0,02;99,63;9,66;-1,286;0;8-6-2021;09:28:14
1;20;0;17,246;0,03;100,27;9,74;-1,266;0;8-6-2021;09:28:16
1;21;0;16,849;0,04;99,92;9,79;-1,197;0;8-6-2021;09:28:18
1;22;0;16,288;0,08;108,63;10,77;-1,102;0;8-6-2021;09:28:20
1;23;0;4,762;0,07;112,61;14,62;-0,028;0,3;8-6-2021;09:28:22
1;24;0;2,722;0,08;111,9;15,33;-0,036;0,31;8-6-2021;09:28:24
1;25;0;2,308;0,07;109;15,1;-0,046;0,36;8-6-2021;09:28:26
1;26;0;2,297;0,07;110,4;15,3;-0,046;0,34;8-6-2021;09:28:28
1;27;0;2,22;0,07;108,56;15,08;-0,049;0,31;8-6-2021;09:28:30
1;28;0;2,237;0,08;106,95;14,85;-0,048;0,34;8-6-2021;09:28:32
1;29;0;2,188;0,07;106,52;14,81;-0,05;0,34;8-6-2021;09:28:34
1;30;0;2,17;0,07;107,03;14,88;-0,05;0,34;8-6-2021;09:28:36
1;31;0;2,195;0,07;106,9;14,86;-0,049;0,38;8-6-2021;09:28:38
1;32;0;2,159;0,07;104,3;14,51;-0,05;0,4;8-6-2021;09:28:40
1;33;0;2,147;0,08;105,13;14,63;-0,051;0,38;8-6-2021;09:28:42
1;34;0;2,137;0,08;105,73;14,72;-0,051;0,41;8-6-2021;09:28:44
1;35;0;2,161;0,07;105,63;14,69;-0,05;0,42;8-6-2021;09:28:46
1;36;0;2,118;0,07;104,46;14,55;-0,052;0,2;8-6-2021;09:28:48
1;37;0;2,117;0,07;104,02;14,49;-0,052;0,26;8-6-2021;09:28:50
1;38;0;2,102;0,08;103,6;14,43;-0,053;0,2;8-6-2021;09:28:52
1;39;0;2,108;0,07;104,13;14,5;-0,052;0,26;8-6-2021;09:28:54
1;40;0;2,1;0,07;103,74;14,45;-0,053;0,27;8-6-2021;09:28:56
1;41;0;2,118;0,07;104,17;14,51;-0,052;0,3;8-6-2021;09:28:58
1;42;0;2,109;0,07;103,94;14,48;-0,052;0,28;8-6-2021;09:29:00
1;43;0;2,102;0,07;103,9;14,47;-0,052;0,28;8-6-2021;09:29:02
1;44;0;2,118;0,07;103,98;14,48;-0,052;0,29;8-6-2021;09:29:04
1;45;0;2,141;0,07;103,75;14,44;-0,051;0,27;8-6-2021;09:29:06
1;46;0;2,146;0,07;104,38;14,52;-0,051;0,25;8-6-2021;09:29:08
1;47;0;2,151;0,07;102,86;14,31;-0,051;0,3;8-6-2021;09:29:10
1;48;0;2,148;0,07;103,03;14,34;-0,052;0,08;8-6-2021;09:29:12
1;49;0;2,122;0,07;102,86;14,32;-0,053;0,14;8-6-2021;09:29:14
1;50;0;2,106;0,07;102,83;14,32;-0,053;0,21;8-6-2021;09:29:16
1;51;0;2,103;0,07;102,83;14,33;-0,053;0,25;8-6-2021;09:29:18
1;52;0;2,108;0,08;102,7;14,31;-0,052;0,33;8-6-2021;09:29:20
1;53;0;2,126;0,07;103,03;14,34;-0,051;0,33;8-6-2021;09:29:22
1;54;0;2,143;0,07;102,95;14,33;-0,051;0,34;8-6-2021;09:29:24
1;55;0;2,126;0,07;102,73;14,3;-0,051;0,39;8-6-2021;09:29:26
1;56;0;2,153;0,07;102,33;14,24;-0,05;0,46;8-6-2021;09:29:28
1;57;0;2,125;0,07;102,4;14,26;-0,049;0,83;8-6-2021;09:29:30
1;58;0;2,103;0,07;102,41;14,27;-0,047;1,33;8-6-2021;09:29:32
1;59;0;2,089;0,08;102,32;14,26;-0,045;1,8;8-6-2021;09:29:34
1;60;0;2,084;0,08;102,14;14,24;-0,042;2,42;8-6-2021;09:29:36
1;61;0;2,093;0,09;102,15;14,23;-0,04;2,78;8-6-2021;09:29:38
1;62;0;2,097;0,09;102,35;14,26;-0,038;3,12;8-6-2021;09:29:40
1;63;0;2,113;0,1;102,58;14,29;-0,036;3,5;8-6-2021;09:29:42
