From file: CTD 1350 200521;Instrument no.:;1350;;;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;;;
;;;;;;;;;;;;
1;2;;992,86;;;;;;;;;
Ser;Meas;Sal.;Cond.;Temp;F (?g/l);OpOx %;Opmg/l;Density;S. vel.;Press;Date;Time
1;1;0;0;15,369;0,33;100,8;9,88;-0,955;1467,22;0;19-5-2021;09:06:02
1;2;0;0;15,12;0,06;100,13;9,87;-0,917;1466,35;0;19-5-2021;09:06:04
1;3;0;0;15,07;0,07;99,8;9,84;-0,909;1466,18;0;19-5-2021;09:06:06
1;4;0;0;14,972;0,08;99,59;9,84;-0,894;1465,83;0;19-5-2021;09:06:08
1;5;0;0;14,884;0,07;99,29;9,83;-0,881;1465,52;0;19-5-2021;09:06:10
1;6;0;0;14,83;0,06;99,17;9,83;-0,873;1465,33;0;19-5-2021;09:06:12
1;7;0;0;14,732;0,07;99,5;9,89;-0,858;1464,99;0;19-5-2021;09:06:14
1;8;0;0;14,625;0,08;99,57;9,92;-0,843;1464,61;0;19-5-2021;09:06:16
1;9;0;0;14,519;0,08;99,69;9,95;-0,827;1464,24;0;19-5-2021;09:06:18
1;10;0;0;14,409;0,08;99,75;9,98;-0,811;1463,85;0;19-5-2021;09:06:20
1;11;0;0;14,304;0,08;100;10,03;-0,796;1463,47;0;19-5-2021;09:06:22
1;12;0;0;14,227;0,08;99,93;10,04;-0,785;1463,2;0;19-5-2021;09:06:24
1;13;0;0;14,159;0,08;99,78;10,04;-0,776;1462,95;0;19-5-2021;09:06:26
1;14;0;0;14,097;0,07;100,01;10,07;-0,767;1462,73;0;19-5-2021;09:06:28
1;15;0;0;14,038;0,07;99,34;10,02;-0,759;1462,52;0;19-5-2021;09:06:30
1;16;0;0;13,908;2,27;99,62;10,08;-0,741;1462,05;0;19-5-2021;09:06:32
1;17;0;0;13,658;2,49;99,48;10,12;-0,707;1461,15;0;19-5-2021;09:06:34
1;18;0;0;13,371;0,03;99,3;10,17;-0,669;1460,11;0;19-5-2021;09:06:36
1;19;0;0;13,22;0,05;99,05;10,17;-0,649;1459,56;0;19-5-2021;09:06:38
1;20;0;0;13,431;0,52;76,16;7,79;-0,677;1460,33;0;19-5-2021;09:06:40
1;21;0;0;13,66;0,01;64,33;6,54;-0,707;1461,16;0;19-5-2021;09:06:42
