SSDA Sea &;Sun Techn;ology's Sta;ndard Data;Acquisiti;on softw;are packa;ge rev 2.18;1.06;0.2015;;;
C:\SST_SDA\;CONFIG\CT;M980.SPJ;;;;;;;;;;
19-4-2021 00:00;16:16:30;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
StandardDat;aAcquisit;ion SDA (C);opyright b;y T. Finge;r 1999-2;15;;;;;;
;;;;;;;;;;;;
001 CTM980;001  P  P;ress  dbar;-51.364.800;0,00E+00;17.754;3000000E-;0002  1.8629;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
001 CTM980;002  N;Temp    °C;-24.104.900;0,00E+00;58.907;4000000E-;0004  0.0000;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
001 CTM980;003  N;Cond mS/cm;-52.809.900;0,00E+00;17.102;9000000E-;0005  0.0000;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
001 CTM980;004 NFC R;i-O2     %;-41.036.900;0,00E+00;34.197;4000000E-;0003  0.0000;0;0,00E+00;0;0,00E+00;-1.44700000000E+0000  1.05954000000E+0000
001 CTM980;005  N;pH     _;26.148.200;0,00E+00;13.386;5000000E-;0004  0.0000;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
001 CTM980;006 RR4 C;hlAS  µg/L;20.000.000;0,00E+00;21.000;0000000E+;0001  2.2000;0;0,00E+00;23.000.000;0,00E+00;1.00000000000E+0000  0.00000000000E+0000
001 CTM980;007 RR4;Turb   FTU;24.000.000;0,00E+00;25.000;0000000E+;0001  2.6000;0;0,00E+00;27.000.000;0,00E+00;1.00000000000E+0000  0.00000000000E+0000
001 CTM980;008 N24;T_i    °C;-10.348.600;0,00E+00;91.905;7000000E-;0005 -5.5371;700000;0,00E+00;16.659.100;0,00E+00;-2.16009000000E+0000  4.63644000000E-0001
001 CTM980;009 N42 C;hlAT  µg/L;-16.993.000;0,00E+00;91.849;5000000E-;0005  0.0000;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  1.00000000000E+0000
001 CTM980;010  N  V;batt  Volt;76.978.100;0,00E+00;16.183;2000000E-;0002  0.0000;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
;;;;;;;;;;;;
C:\Users\FE;LTPC\Desk;top\Økostor;\Takvatnet;Winterlak;e\F41916;15_2.SRD;;;;;;
Lines :;2157;;;;;;;;;;;
";";;;;;;;;;;;;
"; Datasets";IntD;IntT;Press;Temp;Cond;Ri-O2;DO_mg;pH;ChlAS;Turb;SALIN;Vbatt
";";[ Date];[ Time];[ dbar];[   °C];[mS/cm];[    %];[ mg/l]  [;_];[ µg/L];[  FTU];[  PSU];[ Volt]
33;16:06:55;19-4-2021;0;0.403;0.0282;105.25;15.18;7.24;0.99;-0.36;0.0215;11.77
34;16:06:55;19-4-2021;0;0.3;0.0287;105.3;15.23;7.25;0.37;-0.36;0.0219;11.77
35;16:06:55;19-4-2021;0.03;0.247;0.029;105.26;15.25;7.25;0.19;-0.3;0.0221;11.77
36;16:06:55;19-4-2021;0.09;0.217;0.029;105.24;15.26;7.25;0.14;-0.09;0.0222;11.76
37;16:06:55;19-4-2021;0.12;0.205;0.029;105.22;15.26;7.25;0.11;-0.03;0.0222;11.77
38;16:06:55;19-4-2021;0.12;0.2;0.0292;105.15;15.25;7.25;0.11;-0.02;0.0224;11.77
39;16:06:56;19-4-2021;0.14;0.198;0.0294;105.21;15.26;7.25;0.11;-0.03;0.0225;11.77
