Date;Zone;Quantum;divided.10000
5-2-2021 12:40;AIR;1129673,58;112,967358
18-3-2021 12:00;AIR;9544483,42;954,448342
19-4-2021 12:33;AIR;15165448,83;1516,544883
4-5-2021 13:40;AIR;11880899,08;1188,089908
19-5-2021 12:14;AIR;20254510,92;2025,451092
8-6-2021 13:00;AIR;12891617,25;1289,161725
5-2-2021 08:09;WATER;42712;4,2712
5-2-2021 08:24;WATER;43667;4,3667
5-2-2021 08:24;WATER;41865;4,1865
5-2-2021 08:24;WATER;11422;1,1422
5-2-2021 08:38;WATER;5045;0,5045
5-2-2021 08:38;WATER;12214;1,2214
5-2-2021 08:38;WATER;6306;0,6306
5-2-2021 08:52;WATER;3099;0,3099
5-2-2021 08:52;WATER;14214;1,4214
5-2-2021 08:52;WATER;5045;0,5045
5-2-2021 09:07;WATER;2757;0,2757
5-2-2021 09:07;WATER;2865;0,2865
5-2-2021 09:07;WATER;2613;0,2613
5-2-2021 09:21;WATER;3099;0,3099
5-2-2021 09:21;WATER;3117;0,3117
5-2-2021 09:21;WATER;2955;0,2955
5-2-2021 09:36;WATER;2342;0,2342
5-2-2021 09:36;WATER;2793;0,2793
5-2-2021 09:36;WATER;3333;0,3333
5-2-2021 09:50;WATER;4000;0,4
5-2-2021 09:50;WATER;3135;0,3135
5-2-2021 10:04;WATER;2829;0,2829
5-2-2021 10:04;WATER;3387;0,3387
5-2-2021 10:04;WATER;3045;0,3045
5-2-2021 10:19;WATER;2433;0,2433
5-2-2021 10:19;WATER;3027;0,3027
5-2-2021 10:19;WATER;3279;0,3279
5-2-2021 10:33;WATER;3477;0,3477
5-2-2021 10:33;WATER;3207;0,3207
5-2-2021 10:33;WATER;3009;0,3009
5-2-2021 10:48;WATER;3766;0,3766
5-2-2021 10:48;WATER;3225;0,3225
5-2-2021 10:48;WATER;3748;0,3748
5-2-2021 11:02;WATER;3333;0,3333
5-2-2021 11:02;WATER;2901;0,2901
5-2-2021 11:02;WATER;3333;0,3333
5-2-2021 11:16;WATER;2649;0,2649
5-2-2021 11:16;WATER;3189;0,3189
5-2-2021 11:16;WATER;3838;0,3838
5-2-2021 11:31;WATER;3315;0,3315
5-2-2021 11:31;WATER;3369;0,3369
5-2-2021 11:31;WATER;3658;0,3658
5-2-2021 11:45;WATER;3423;0,3423
5-2-2021 11:45;WATER;3982;0,3982
5-2-2021 12:00;WATER;-179;-0,0179
5-2-2021 12:00;WATER;228077;22,8077
5-2-2021 12:00;WATER;23905;2,3905
5-2-2021 12:14;WATER;88324;8,8324
5-2-2021 12:14;WATER;113237;11,3237
5-2-2021 12:14;WATER;110553;11,0553
5-2-2021 12:28;WATER;116065;11,6065
